ID;Респондент;Вік;Стать;Чи грає у відеоігри;Девайс;Улюблена гра;Час;Жанр;Витрата грошей;Позитивний вплив;Unnamed: 11;Негативний вплив;Відповідь респендента про негативний вплив 
87;Дитина;12;Жіноча;Так;комп'ютер/ноутбук;Genshin Impact;близько 3 годин;MMOG;Так;Так;ГраRoblox, завдяки цій грі я почала розуміти краще Англійську мову ;Ні;не знаю
88;Батьки;12;Чоловіча;Так;планшет;Roblox, Brawl Stars;близько 3 годин;Симулятори;Ні;Ні;Ні;Так;Так
89;Батьки;8;Чоловіча;Так;телефон;Cars;близько 3 годин;Гонки;Ні;Так;Стратегія;Так;Бойовики
90;Дитина;12;Чоловіча;Так;планшет;Roblox, Brawl Stars;близько 3 годин;Пісочниці;Ні;Так;Так;Так;Так 
91;Батьки;11;Чоловіча;Так;телефон;-;4 години і більше;MMOG;Ні;Ні;Не покращили;Так;Роздратованість 
92;Дитина;12;Жіноча;Так;телефон;Roblox, Block Blast;близько 2 годин;Симулятори;Так;Так;Roblox, стала більше розуміти інші мови, більш всього англійську ;Ні;Такого немає 
93;Дитина;12;Жіноча;Так;телефон;Roblox, Block Blast;близько 2 годин;Симулятори;Так;Так;я граю в жахи тому більше нічого не боюсь;Так;Немає, тільки ми сваримось з сестрою коли граємо 
94;Дитина;14;Жіноча;Так;планшет;-;менше 1 години;Гонки;Ні;Ні;Ні;Ні;.
95;Дитина;11;Жіноча;Ні;телефон;Block Blast;менше 1 години;Головоломки;Ні;Так;Так гра block bost вона покращіда мені логічне мислення ;Ні;Ні не помічала 
96;Батьки;9;Жіноча;Ні;;-;-;-;Ні;Так;Ні;Ні;ні 
97;Дитина;12;Жіноча;Так;планшет;Brawl Stars;близько 2 годин;Шутери та бойовики;Ні;Так;Розвиваєця статегія;Так;Нехватає часу на уроки
98;Батьки;11;Чоловіча;Так;комп'ютер/ноутбук;-;4 години і більше;Симулятори;Так;Так;Так. Самостійність , самонавчання з використанням пк , досягнення поставлених собою цілей.;Ні;Ні
99;Батьки;12;Жіноча;Так;телефон;Block Blast;близько 2 годин;Симулятори;Так;Ні;"""-""";Ні;"""-"""
100;Батьки;8;Жіноча;Так;планшет;Roblox;близько 2 годин;Стратегії;Так;Ні;Ні;Так;Так. ГраRoblox. Негативно впливає на нервову систему. 
101;Дитина;11;Чоловіча;Так;телефон;EA Sports FC Mobile;близько 1 години;Головоломки;Ні;Так;Футбол техніка виконання ударів;Ні;Ні
102;Батьки;11;Чоловіча;Так;комп'ютер/ноутбук;Roblox;близько 3 годин;MMOG;Так;Ні;-;Ні;-
103;Батьки;8;Жіноча;Так;телефон;-;близько 3 годин;Пісочниці;Ні;Ні;Ні;Ні;Ні
104;Батьки;11;Чоловіча;Так;комп'ютер/ноутбук;Team Fortress 2;близько 3 годин;Шутери та бойовики;Так;Так;Покращили англійську мову;Ні;Ні
105;Дитина;14;Чоловіча;Так;комп'ютер/ноутбук;Fallout: New Vegas;близько 2 годин;Рольові;Ні;Так;Fallout 2 ,розвиваж винахідливість та пошук альтернативних шляхів вирішення проблеми ,став уважніше ;Ні;Не знаю ,не помітив 
106;Дитина;12;Жіноча;Так;планшет;Standoff 2;близько 2 годин;Шутери та бойовики;Ні;Ні;Ні;Ні;Ні
107;Дитина;11;Жіноча;Так;телефон;-;близько 2 годин;Пригоди;Ні;Ні;Не пам'ятаю ;Ні;Ні не було
108;Батьки;11;Жіноча;Так;планшет;Brawl Stars;близько 1 години;Рольові;Ні;Ні;Ні;Ні;Ні
109;Дитина;12;Чоловіча;Так;комп'ютер/ноутбук;Minecraft, Rust, Counter-Strike2, Roblox, Portal, GTA V;4 години і більше;Жахи;Так;Так;Так багато з ігор мене навчили Англійському можу з іншими гравцями розмовляти на ній а ці ігри:кс 2,фазмофобія,роблокс і ще багато ігр;Ні;ні
110;Батьки;9;Чоловіча;Так;телефон;Standoff;близько 1 години;Гонки;Ні;Ні;Ні;Так;Так, дитина не спокійна.
111;Дитина;8;Жіноча;Так;планшет;Roblox;близько 2 годин;MMOG;Так;Так;Нормально;Ні;Ні
112;Дитина;13;Чоловіча;Так;комп'ютер/ноутбук;-;близько 1 години;Шутери та бойовики;Так;Так;Шутери та бойовики, танки, дота, кс;Так;Не люблю карти чі якісь тупі ігри без екшену та драйву
113;Батьки;11;Чоловіча;Так;комп'ютер/ноутбук;Super Mechs;близько 1 години;Стратегії;Ні;Так;Відео ролики на англійській мові;Ні;.
114;Батьки;12;Чоловіча;Так;телефон;Block Blast;близько 2 годин;Головоломки;Так;Так;Помічали;Так;Помічали 
115;Дитина;9;Жіноча;Так;телефон;Brawl Stars;менше 1 години;Симулятори;Ні;Ні;-;Ні;-
116;Дитина;8;Чоловіча;Так;комп'ютер/ноутбук;Fortnite;близько 2 годин;Шутери та бойовики;Так;Так;Фортнайт вплинули добре;Ні;Ніяка
117;Дитина;12;Чоловіча;Так;-;Block Blast;-;Головоломки;Ні;Так;"Ця Block Blast гра треба думати і розуміти куди ставити фігури 
";Ні;На певно ні 
118;Батьки;12;Жіноча;Ні;-;-;-;-;Ні;Ні;Ні;Так;Всі відео ігри негативно впливають на психіку дитини, та викликають залежність!
119;Батьки;12;Чоловіча;Так;комп'ютер/ноутбук;Rust;близько 2 годин;Шутери та бойовики;Так;Так;Так, майнкрафт;Ні;Ні
120;Дитина;13;Жіноча;Ні;-;-;-;-;Ні;Ні;Ні;Так;Так
121;Батьки;11;Чоловіча;Так;телефон;Brawl Stars;близько 2 годин;Шутери та бойовики;Ні;Ні;Ні;Ні;Ні
122;Дитина;11;Чоловіча;Так;комп'ютер/ноутбук;Roblox;близько 2 годин;MMOG;Ні;Так;"Farming simylator 17
Здібність запамятувувати";Ні;.
123;Батьки;11;Жіноча;Так;телефон;Minecraft;близько 1 години;Стратегії;Так;Ні;Ні;Ні;Ні
124;Батьки;10;Чоловіча;Так;телефон;Standoff;близько 2 годин;Шутери та бойовики;Так;Так;Так;Так;Так
125;Батьки;11;Жіноча;Так;планшет;Roblox;близько 1 години;MMOG;Так;Ні;Ні;Ні;Ні
126;Дитина;11;Жіноча;Так;планшет;Roblox;близько 1 години;MMOG;Так;Ні;Ні;Ні;Ні
127;Дитина;12;Жіноча;Так;телефон;Тетріс;близько 3 годин;Головоломки;Ні;Так;Головоломка впливає на розвиток ;Ні;Ні
128;Батьки;11;Жіноча;Так;телефон;-;близько 1 години;Стратегії;Ні;Так;Ставити цілі і досягати мети;Так;Гра забирає час
129;Батьки;11;Жіноча;Так;телефон;-;близько 2 годин;Головоломки;Ні;Ні;Нi;Ні;Ні
130;Батьки;12;Жіноча;Так;телефон;-;близько 2 годин;MMOG;Ні;Ні;Ні;Ні;Ні
131;Дитина;11;Чоловіча;Так;комп'ютер/ноутбук;Roblox;близько 2 годин;Симулятори;Так;Так;FeelFPV - Розвинула мені трохи реакцію;Ні;-
132;Батьки;13;Жіноча;Так;телефон;Roblox;близько 1 години;Шутери та бойовики;Ні;Ні;Ні;Ні;Ні
133;Дитина;11;Чоловіча;Так;комп'ютер/ноутбук;Counter-Strike2;4 години і більше;Шутери та бойовики;Так;Ні;Нет;Так;Да
134;Батьки;12;Жіноча;Так;телефон;Brawl Stars;близько 2 годин;Рольові;Ні;Ні;-;Ні;-
135;Дитина;10;Жіноча;Так;планшет;Canva;менше 1 години;Головоломки;Ні;Ні;"""-""";Ні;"""-"""
136;Батьки;8;Чоловіча;Так;планшет;Farming simulator, Fifa, Roblox, Brawl Stars, Fortnite;близько 2 годин;Симулятори;Так;Так;Інт типу farming simulator відносно позитивно, решта впливають негативно;Так;Так, особливо бойовики
137;Дитина;13;Чоловіча;Так;комп'ютер/ноутбук;CookieRun;4 години і більше;Рольові;Так;Так;так, рольові ігри, квести, головоломки, ;Ні;нє
138;Дитина;10;Жіноча;Так;планшет;Brawl Stars, Standoff 2;близько 1 години;MMOG;Так;Ні;_;Ні;_
